목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
3,61411708,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 스포츠 패키지 4WD,"5,970만원",24년 7월식(25년형),24년 7월식(25년형),"20,067km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61411708
4,61412917,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,890만원",26년 6월식(27년형),26년 6월식(27년형),"1,561km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61412917
5,61416241,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 스포츠 패키지 4WD,"5,830만원",24년 7월식(25년형),24년 7월식(25년형),"14,059km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61416241
7,61409240,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,750만원",24년 11월식(25년형),24년 11월식(25년형),"20,988km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61409240
8,61413268,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,720만원",24년 7월식(25년형),24년 7월식(25년형),"21,635km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61413268
9,61414998,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,570만원",26년 1월식,26년 1월식,"9,249km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61414998
10,61413302,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,530만원",24년 7월식(25년형),24년 7월식(25년형),"19,011km",무사고,총 3회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61413302
11,61403963,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,500만원",24년 2월식(25년형),24년 2월식(25년형),"32,666km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61403963
13,61412950,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 2WD,"5,450만원",24년 9월식(25년형),24년 9월식(25년형),"11,450km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61412950
14,61411103,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,430만원",24년 9월식(25년형),24년 9월식(25년형),"10,555km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61411103
15,61416499,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,390만원",24년 7월식(25년형),24년 7월식(25년형),"44,166km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61416499
19,61403596,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,210만원",24년 8월식(25년형),24년 8월식(25년형),"10,224km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61403596
21,61411654,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 2WD,"5,090만원",24년 6월식(25년형),24년 6월식(25년형),"12,532km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61411654
22,61415209,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,090만원",24년 11월식(25년형),24년 11월식(25년형),"52,777km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61415209
23,61412248,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,050만원",24년 6월식(25년형),24년 6월식(25년형),"42,275km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61412248
27,61413111,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"4,880만원",24년 3월식(25년형),24년 3월식(25년형),"35,461km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61413111
28,61412036,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,770만원",23년 3월식,23년 3월식,"8,563km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61412036
